str_no_string|NO STRING!
str_empty_string| 
str_yes|Yes.
str_no|No.
str_blank_string| 
str_noone|no one
str_s50_and_s51|{s50} and {s51}
str_s52_and_s51|{s52} and {s51}
str_s5_s_party|{s5}'s Party
str_given_by_s1_at_s2|Given by {s1} at {s2}
str_given_by_s1_in_wilderness|Given by {hs1} whilst in the field
str_s7_raiders|{s7} Raiders
str_bandits_eliminated_by_another|The troublesome bandits have been eliminated by another party.
str_msg_battle_won|Battle won! Press tab key to leave...
str_tutorial_map1|You are now viewing the overland map. Left-click on the map to move your party to that location, enter the selected town, or pursue the selected party. Time will pause on the overland map if your party is not moving, waiting or resting. To wait anywhere simply press and hold down the space bar.
str_randomize|Randomize
str_charge|Charge
str_color|Color
str_flip_horizontal|Flip Horizontal
str_flip_vertical|Flip Vertical
str_hold_fire|Hold Fire
str_blunt_hold_fire|Blunt / Hold Fire
str_tutorial_ammo_refilled|Ammo refilled.
str_tutorial_failed|You have been beaten this time, but don't worry. Follow the instructions carefully and you'll do better next time. Press the Tab key to return to to the menu where you can retry this tutorial.
str_finished|(Finished)
str_delivered_damage|Delivered {reg60} damage.
str_archery_target_hit|Distance: {reg61} yards. Score: {reg60}
str_use_baggage_for_inventory|Use your baggage to access your inventory during battle (it's at your starting position).
str_cant_use_inventory_now|Can't access inventory now.
str_cant_use_inventory_arena|Can't access inventory in the arena.
str_cant_use_inventory_disguised|Can't access inventory while you're disguised.
str_cant_use_inventory_tutorial|Can't access inventory in the training camp.
str_1_denar|1 crown
str_reg1_denars|{reg1} crowns
str_january_reg1_reg2|January {reg1}, {reg2}
str_february_reg1_reg2|February {reg1}, {reg2}
str_march_reg1_reg2|March {reg1}, {reg2}
str_april_reg1_reg2|April {reg1}, {reg2}
str_may_reg1_reg2|May {reg1}, {reg2}
str_june_reg1_reg2|June {reg1}, {reg2}
str_july_reg1_reg2|July {reg1}, {reg2}
str_august_reg1_reg2|August {reg1}, {reg2}
str_september_reg1_reg2|September {reg1}, {reg2}
str_october_reg1_reg2|October {reg1}, {reg2}
str_november_reg1_reg2|November {reg1}, {reg2}
str_december_reg1_reg2|December {reg1}, {reg2}
str_town_nighttime| It is late at night and honest folk have abandoned the streets.
str_door_locked|The door is locked.
str_castle_is_abondened|The castle seems to be unoccupied.
str_town_is_abondened|The town has no garrison defending it.
str_place_is_occupied_by_player|The place is held by your own troops.
str_place_is_occupied_by_enemy|The place is held by hostile troops.
str_place_is_occupied_by_friendly|The place is held by friendly troops.
str_do_you_want_to_retreat|Are you sure you want to retreat?
str_give_up_fight|Give up the fight?
str_do_you_wish_to_leave_tutorial|Do you wish to leave the tutorial?
str_do_you_wish_to_surrender|Do you wish to surrender?
str_can_not_retreat|Can't retreat, there are enemies nearby!
str_s1_joined_battle_enemy|{s1} has joined the battle on the enemy side.
str_s1_joined_battle_friend|{s1} has joined the battle on your side.
str_entrance_to_town_forbidden|The town guards are on the lookout for intruders and it seems that you won't be able to pass through the gates unchallenged.
str_sneaking_to_town_impossible|The town guards are alarmed. You wouldn't be able to sneak through that gate no matter how well you disguised yourself.
str_battle_won|You have won the battle!
str_battle_lost|You have lost the battle!
str_attack_walls_success|After a bloody fight, your brave soldiers manage to claim the walls from the enemy.
str_attack_walls_failure|Your soldiers fall in waves as they charge the walls, and the few who remain alive soon rout and run away, never to be seen again.
str_attack_walls_continue|A bloody battle ensues and both sides fight with equal valour. Despite the efforts of your troops, the castle remains in enemy hands.
str_order_attack_success|Your men fight bravely and defeat the enemy.
str_order_attack_failure|You watch the battle in despair as the enemy cuts your soldiers down, then easily drives off the few ragged survivors.
str_order_attack_continue|Despite an extended skirmish, your troops were unable to win a decisive victory.
str_join_order_attack_success|Your men fight well alongside your allies, sharing in the glory as your enemies are beaten.
str_join_order_attack_failure|You watch the battle in despair as the enemy cuts your soldiers down, then easily drives off the few ragged survivors.
str_join_order_attack_continue|Despite an extended skirmish, neither your troops nor your allies were able to win a decisive victory over the enemy.
str_siege_defender_order_attack_success|The men of the garrison hold their walls with skill and courage, breaking the enemy assault and skillfully turning the defeat into a full-fledged rout.
