qstr_Breaking_camp...|Breaking camp...
qstr_Your_party_is_spotte|Your party is spotted by {s1}.
qstr_Party_has_nothing_to|Party has nothing to eat!
qstr_{reg1}_{s1}_{reg2?ha|{reg1} {s1} {reg2?have:has} escaped from your party during the night.
qstr_{s1}_of_{s3}_has_bee|{s1} of {s3} has been released from captivity.
qstr_Building_of_{s0}_in_|Building of {s0} in {s4} has been completed.
qstr_{s1}_has_won_the_tou|{s1} has won the tournament at {s2}.
qstr_{s1}_is_no_longer_in|{s1} is no longer infested by bandits (at night).
qstr_You_pay_for_accommod|You pay for accommodation.
qstr_Betrothal_to_{s5}_ex|Betrothal to {s5} expires
qstr__Your_tactics_skill_| Your tactics skill has increased by 1.
qstr__Your_persuasion_ski| Your persuasion skill has increased by 1.
qstr__Your_leadership_ski| Your leadership skill has increased by 1.
qstr__Your_intelligence_h| Your intelligence has increased by 1.
qstr__Your_trade_skill_ha| Your trade skill has increased by 1.
qstr__Your_weapon_master_| Your weapon master skill has increased by 1.
qstr__Your_engineer_skill| Your engineer skill has increased by 1.
qstr_You_have_finished_re|You have finished reading {s1}.{s2}
qstr_Book_Read|Book Read
qstr_You_have_{reg0}_days|You have {reg0} days to finish this quest.
qstr_{s1}_is_scouted.|{s1} is scouted.
qstr_{s1}_has_switched_fr|{s1} has switched from {s2} to {s3}.
qstr_Paiement_des_frais_d|Training camp expenses.
qstr_Plus_d_argent_pour_l|More money to train your troops.
qstr_Payement_de_l_Auberg|Inn payment.
qstr_You_are_not_strong_e|You are not strong enough to lift a weapon fit for your promotion!
qstr_You_are_not_strong_en|You are not strong enough to hold all that weight required with promotion!
qstr_Your_arms_are_to_wea|Your arms are too weak to advance in the archery ranks at this moment.
qstr_You_require_more_hor|You require more horse riding skills to fit your next poisition!
qstr_{reg65?my_Lady:my_Lo|{reg65?my Lady:my Lord}
qstr_{reg65?My_Lady:My_Lo|{reg65?My Lady:My Lord}
qstr_{reg65?madame:sir}|{reg65?madame:sir}
qstr_{reg65?Madame:Sir}|{reg65?Madame:Sir}
qstr__no_fiefs_|(no fiefs)
qstr__fiefs:_{s0}_|(fiefs: {s0})
qstr_It_s_your_money_or_y|It's your money or your life, {mate/girlie}. No sudden moves or we'll run you through.
qstr_Lucky_for_you_you_c|Lucky for you, you caught me in a good mood. Give us all your coin and I might just let you live.
qstr_This_a_robbery_eh?_|This a robbery, eh? I givin' you one chance to hand over everythin' you got, or me and my mates'll kill you. Understand?
qstr_we_have_made_very_li|we have made very little progress so far
qstr_we_have_suceeded_in_|we have succeeded in gaining some ground, but we still have a long way to go
qstr_we_have_become_a_sig|we have become a significant force, and we have an even chance of victory
qstr_we_are_winning_the_w|we are winning the war, but our enemies are still holding on.
qstr_we_are_on_the_verge_|we are on the verge of victory. The remaining enemies pose no threat, but we still need to hunt them down.
qstr_Un_écuyer_dans_les_|A squire near the stables in Paris asked you to get his sword from the catacombs. It lies in a tomb in the deep crypts. He will give you 200 denars for the sword.
qstr_Michelun_passager_d|Michel, a passenger of the boat for Dijon, counted me the situation in France, it belongs to the discreet circle of the rebels, and offered me to be part of it by meeting the rebel leader of a small local group, in the tower in ruins, at the gates of Montpellier.
qstr_Aller_passer_le_test|Go pass the admission test to work as a mercenary for the company of Freelancers. They have a garrison at the Gordaine square of Bourges.
qstr_Le_chef_des_Rebelles|Rebel chief of Montpellier wants to raze a camp near the castle of de Puy. The attack relies on the element of surprise. Rebels troops are waiting for you near the camp.
qstr_Le_chef_Rebelle_de_M|Rebel chief of Montpellier asked you to intercept a weapons convoy near the village of Rodez. You can take troops from the rebels patrolling near Bourges if you need reinforcements.
qstr_J_ai_été_chargé_d|You were put in charge of resupplying the starving rebels hiding at {s9}. They ordered a barrel of mead, a unit of bread, cheese and dried meat.
qstr_Le_maitre_de_la_comp|The master of the company of Freelancers told you to reinforce the besieged troops at St. Benezet Bridge in Avignon without bothering to tell who the attackers are. However you have time to go there.
qstr_Le_maitre_de_la_compa|The master of the company of Freelancers orders you to immediately join the battle against Villandrandro robbers at Bourges warehouses.
qstr_Le_maitre_de_la_compag|The master of the company of Freelancers asked you to get rid of a gang of robbers which prowls and does mischief around Bourges.
qstr_Le_maitre_de_la_compagn|The master of the company of Freelancers wants you to get rid of an annoying problem. One of his men fled drunk to the Three lilies tavern in the slums of Bourges. He has already slain a city guard in a killing frenzy.
qstr_Le_maitre_de_la_compagni|The master of the company of Freelancers gave your first assignment. Patrol the neighbourhoods and talk to the tavern keeper, guild master and merchant (door to the shop at the alley in front of the marketplace), and foreman at the warehouse district. Don't get knocked out if you meet brigands.
qstr_Ecu|Écu
qstr_Lys|Lily
qstr_Licorne_veux_me_renc|Unicorn says he has a job for me and wants to meet at the gardens of Poitiers.
qstr_Le_chef_des_Rebelles_|The leader of the rebel camp in the forest of Verzy asked you to lead his men to the Burgundian strongpoint southwest of Dijon. You are to plan an attack and seize the site with the help of rebels.
qstr_Le_chef_Rebelle_de_l|The leader of the rebel troops hidden in the forest of Verzy sent you to scout the gate of the Germans at Metz and to prepare an operation to seize the food stores.
qstr_Licorne_m_envoie_me_|Unicorn wants you to confess your assassinations to become a Knight at the Jacobin cloister in Toulouse. A letter of recommendation will be presented to the king once this task is performed.
qstr_Licorne_m_envoie_a_l|Unicorn sends you out to kill again, he wants you to poison a rich merchant who finances the armies of the Duke of Burgundy. You'd do the deed in his mansion in Reims. Unicorn pays 1000 denars as soon as he learns of the merchant's death.
qstr_Licorne_me_payeras_1|Unicorn pays 1000 denars if you get rid of the English governor, who is hunting near Senlis. You'll have to improvise because the camp can only be entered unarmed.
qstr_Licorne_m_a_demandé|Unicorn told you to assassinate important people or general enemies for the good of the cause. You have to get rid of the Count of Caen. Fake an invitation to a banquet, guard the entrance and close in on the Count for a kill.
qstr_Villandrandro_m_as_c|Rodrigue de Villandrandro asked you to kill a traitor called Mathieu the Spinner. He lives on a farm near Rennes.
qstr_Villandrandro_m_as_ch|Rodrigue de Villandrandro told you to collect his extortion money. Ask for protection money from the armorer, the wholesaler, and the weaponsmith.
qstr_Villandrandro_veux_q|Rodrigue de Villandrandro wants you to steal a ring from the vault of an old castle in Tours. Better not get caught because the Kingdom of France will never forgive you.
qstr_Rodrigue_de_Villandr|Rodrigue de Villandrandro wants you to pickpocket a key for him. It's carried by a noble living in the house of the three Sirens in Tours.
qstr_Le_chef_des_Rebelles_c|The leader of the rebels in Paris asked you to get rid of the English troops stationed in a crypt near the rebel camp.
qstr_Le_chef_des_Rebelles_ca|The leader of the rebels who is hiding in the catacombs of Paris begged you to bring bread and cheese for his starving people.
qstr_Un_riche_marchand_de|A wealthy merchant in Rouen offers you 10,000 denars if you can find her daughter. You should start by questioning the tavern keeper of Rouen about the strangers whose table she served on the day of her kidnapping.
qstr_Une_dame_du_nom_de_M|A lady called Madeleine in Montpellier asked you to find her husband. She said he was found guilty of treason by the Dauphin Charles of France, and he went into exile in Paris. He is brunette, has a moustache and is called Bernard.
qstr_Le_maitre_de_la_guil|The master of the Guild of Messengers gave you a letter to deliver to the guild master of  Montpellier.
qstr_Le_maitre_de_la_guild|The master of the Guild of Messengers gave you a letter to deliver to the guild master of Marseille.
qstr_Le_maitre_de_la_guilde|The master of the Guild of Messengers gave you a letter to deliver to the guild master of Paris.
