1135
qstr_Breaking_camp... Breaking_camp...
qstr_{!}{s3}_commander_of {!}{s3}_commander_of_party_#{reg4}_which_is_not_his_troop_leaded_party_{reg5}
qstr_{!}DEBUG____Doing_po {!}DEBUG_--_Doing_political_calculations_for_{s9}
qstr_{!}{s4} {!}{s4}
qstr_{!}New_tariffs_at_{s {!}New_tariffs_at_{s4}_=_{reg4},_total_=_{reg5}
qstr_Your_party_is_spotte Your_party_is_spotted_by_{s1}.
qstr_Party_has_nothing_to Party_has_nothing_to_eat!
qstr_{reg1}_{s1}_{reg2?ha {reg1}_{s1}_{reg2?have:has}_escaped_from_your_party_during_the_night.
qstr_{s1}_of_{s3}_has_bee {s1}_of_{s3}_has_been_released_from_captivity.
qstr_Building_of_{s0}_in_ Building_of_{s0}_in_{s4}_has_been_completed.
qstr_{s1}_has_won_the_tou {s1}_has_won_the_tournament_at_{s2}.
qstr_{!}{s1}_is_infested_ {!}{s1}_is_infested_by_bandits_(at_night).
qstr_{s1}_is_no_longer_in {s1}_is_no_longer_infested_by_bandits_(at_night).
qstr_{!}{s1}_is_holding_a {!}{s1}_is_holding_a_tournament.
qstr_You_pay_for_accommod You_pay_for_accommodation.
qstr_Betrothal_to_{s5}_ex Betrothal_to_{s5}_expires
qstr__Your_tactics_skill_ _Your_tactics_skill_has_increased_by_1.
qstr__Your_persuasion_ski _Your_persuasion_skill_has_increased_by_1.
qstr__Your_leadership_ski _Your_leadership_skill_has_increased_by_1.
qstr__Your_intelligence_h _Your_intelligence_has_increased_by_1.
qstr__Your_trade_skill_ha _Your_trade_skill_has_increased_by_1.
qstr__Your_weapon_master_ _Your_weapon_master_skill_has_increased_by_1.
qstr__Your_engineer_skill _Your_engineer_skill_has_increased_by_1.
qstr_You_have_finished_re You_have_finished_reading_{s1}.{s2}
qstr_Book_Read Book_Read
qstr_You_have_{reg0}_days You_have_{reg0}_days_to_finish_this_quest.
qstr_{s1}_is_scouted. {s1}_is_scouted.
qstr_{s1}_has_switched_fr {s1}_has_switched_from_{s2}_to_{s3}.
qstr_{!}DEBUG_:_{s2}_is_b {!}DEBUG_:_{s2}_is_besieging_by_{s3}
qstr_Paiement_des_frais_d Paiement_des_frais_des_camps_d'entrainement.
qstr_Plus_d_argent_pour_l Plus_d'argent_pour_l'entrainement_de_vos_troupes.
qstr_Payement_de_l_Auberg Payement_de_l'Auberge.
qstr_You_are_not_strong_e You_are_not_strong_enough_to_lift_a_weapon_fit_for_your_promotion!
qstr_You_are_not_strong_en You_are_not_strong_enough_to_hold_all_that_weight_required_with_promotion!.
qstr_Your_arms_are_to_wea Your_arms_are_to_weak_to_advance_in_the_artillary_at_this_moment.
qstr_You_require_more_hor You_require_more_horse_riding_skills_to_fit_your_next_poisition!
qstr_{reg65?my_Lady:my_Lo {reg65?my_Lady:my_Lord}
qstr_{reg65?My_Lady:My_Lo {reg65?My_Lady:My_Lord}
qstr_{reg65?madame:sir} {reg65?madame:sir}
qstr_{reg65?Madame:Sir} {reg65?Madame:Sir}
qstr_{!}DEBUG____Talk_con {!}DEBUG_--_Talk_context:_{reg4}
qstr_{!}DEBUG____Time_sin {!}DEBUG_--_Time_since_last_talk:_{reg4}
qstr__no_fiefs_ (no_fiefs)
qstr__fiefs:_{s0}_ (fiefs:_{s0})
qstr_{!}g_talk_troop_=_{r {!}g_talk_troop_=_{reg0}_,_g_encountered_party_=_{reg1}_,_slot_value_=_{reg2}
qstr_It_s_your_money_or_y It's_your_money_or_your_life,_{mate/girlie}._No_sudden_moves_or_we'll_run_you_through.
qstr_Lucky_for_you_you_c Lucky_for_you,_you_caught_me_in_a_good_mood._Give_us_all_your_coin_and_I_might_just_let_you_live.
qstr_This_a_robbery_eh?_ This_a_robbery,_eh?_I_givin'_you_one_chance_to_hand_over_everythin'_you_got,_or_me_and_my_mates'll_kill_you._Understand?
qstr_we_have_made_very_li we_have_made_very_little_progress_so_far
qstr_we_have_suceeded_in_ we_have_suceeded_in_gaining_some_ground,_but_we_still_have_a_long_way_to_go
qstr_we_have_become_a_sig we_have_become_a_significant_force,_and_we_have_an_even_chance_of_victory
qstr_we_are_winning_the_w we_are_winning_the_war,_but_our_enemies_are_still_holding_on.
qstr_we_are_on_the_verge_ we_are_on_the_verge_of_victory._The_remaining_enemies_pose_no_threat,_but_we_still_need_to_hunt_them_down.
qstr_Un_écuyer_dans_les_ Un_écuyer_dans_les_quartiers_des_écuries_de_Paris_m'a_demandé_de_lui_ramener_son_épée_des_catacombes,_elle_se_trouve_dans_un_un_tombeau_dans_les_cryptes_profondes,_il_me_donnera_200_écus_si_je_parviens_a_la_lui_ramener.
qstr_Michelun_passager_d Michel,un_passager_du_bateau_pour_Dijon,m'as_compté_la_situation_en_France,il_appartient_au_cercle_discret_des_Rebelles,et_m'as_proposé_d'en_faire_partie_en_rencontrant_le_chef_Rebelle_d'un_petit_groupe_local,a_la_tour_en_ruines,_aux_portes_de_Montpellier.
qstr_Aller_passer_le_test Aller_passer_le_test_d'admission_pour_travailler_en_tant_que_mercenaire_pour_la_compagnie_du_SansLys,ils_ont_une_caserne_sur_la_place_Gordaine_a_Bourges.
qstr_Le_chef_des_Rebelles Le_chef_des_Rebelles_de_Montpelier_veux_raser_le_camp_qui_s'est_établis_pret_du_chateau_du_Puy,il_compte_sur_l'effet_de_surprise_pour_que_nous_puissons_l'emporter,des_autres_Rebelles_m'attendent_la_bas.
qstr_Le_chef_Rebelle_de_M Le_chef_Rebelle_de_Montpellier_m'as_chargé_d'intercepter_le_convoi_d'armes_pret_du_village_de_Rodez,je_peut_enroller_des_Rebelles_qui_patrouillent_pret_de_Bourges_si_j'ai_besoin_de_reforts.
qstr_J_ai_été_chargé_d J'ai_été_chargé_de_ravitailler_en_provisions_la_troupe_de_Rebelles_dissimulés_a_{s9},sur_le_point_de_mourire_de_faim,ils_m'ont_comendé_un_tonneau_d'hydromel,une_unité_de_pain,de_fromage_et_un_jambon.
qstr_Le_maitre_de_la_comp Le_maitre_de_la_compagnie_du_SansLys,_m'a_ordonné_de_rejoindre_le_pont_St_Benezet_a_Avignon_assiegée,sans_prendre_la_peine_de_me_preciser_qui_etaient_les_assaillants,j'ai_toutefois_le_temps_de_m'y_rendre.
qstr_Le_maitre_de_la_compa Le_maitre_de_la_compagnie_du_SansLys,_m'a_ordonné_de_rejoindre_immédiatement_la_bataille_aux_entrepots_de_Bourges_les_opposants_aux_brigands_de_Vilandrandro.
qstr_Le_maitre_de_la_compag Le_maitre_de_la_compagnie_du_SansLys,_m'a_demandé_d'anéantire_une_troupe_de_brigands,ils_roderais_aux_allentours_de_Bourges,pret_a_réaliser_leur_mauvais_coup.
qstr_Le_maitre_de_la_compagn Le_maitre_de_la_compagnie_du_SansLys,_m'a_demandé_de_le_débarasser_d'un_problème_génant,un_de_ses_hommes_s'est_réfugié_ivre_a_la_taverne_des_trois_Lys_dans_le_quartier_pauvre_de_Bourges,il_aurais_déja_tué_un_garde_de_la_ville_dans_une_folie_meurtrière.
qstr_Le_maitre_de_la_compagni Le_maitre_de_la_compagnie_du_SansLys,_m'a_donné_ma_première_affectation,_patrouiller_dans_les_quartiers_suivants_et_parler_a_leurs_résponssables:le_maistre_de_guilde_sur_la_place_principale,le_tavernier_a_la_taverne,le_grossiste_au_magasin_et_le_contremaitre_dans_le_quartier_des_entrpots.de_plus_je_doit_éviter_a_tout_pris_d'etre_mis_hors_de_combat_si_je_rencontre_des_brigands.
qstr_Ecu Ecu
qstr_Lys Lys
qstr_Licorne_veux_me_renc Licorne_veux_me_rencontrer_dans_les_jardins_de_la_ville_de_Poitiers,il_dit_avoir_du_travail_pour_moi.
qstr_Le_chef_des_Rebelles_ Le_chef_des_Rebelles_du_camp_de_la_foret_de_Verzy,m'a_demandé_de_mener_ses_hommes_a_la_place_forte_Bourgignone_au_sud_ouest_de_Dijon,de_planifier_l'attaque_et_de_capturer_la_place_en_controlant_la_troupe_au_combat.
qstr_Le_chef_Rebelle_de_l Le_chef_Rebelle_de_la_troupe_cachée_dans_la_foret_de_Verzy,m'a_envoyé_en_éclaireur_a_Metz_dans_le_quartier_de_la_porte_des_Allemands_afin_de_préparer_une_opération_visant_a_s'emparer_des_vivres_entreposés.
qstr_Licorne_m_envoie_me_ Licorne_m'envoie_me_conffesser_de_mes_assasinats_pour_devenire_Chevalier_au_cloitre_des_Jacobins_a_Toulouse.il_me_donneras_la_lettre_de_recomandation_a_donner_au_roi_une_fois_cette_tache_effectuée.
qstr_Licorne_m_envoie_a_l Licorne_m'envoie_a_la_mort_une_foie_de_plus,_il_veux_que_j'enpoisonne_un_riche_marchand_Bourgignon_qui_finance_les_armées_du_Duc_de_Bourgogne.Je_le_trouverais_a_sa_manoire_a_Reims,_Licorne_me_verssera_1000_écus_dés_qu'il_apprendra_sa_mort.
qstr_Licorne_me_payeras_1 Licorne_me_payeras_1000_écus_si_je_le_débarasse_d'un_gouverneur_Anglois_qui_chasse_pret_de_senlis,il_me_faudra_trouver_un_moyen_de_l'areter_car_je_doit_approcher_du_camp_sans_armes.
qstr_Licorne_m_a_demandé Licorne_m'a_demandé_d'assassiner_des_personnages_importants_ou_des_generaux_ennemis_pour_le_bien_de_la_cause,je_doit_le_débarasser_du_comte_de_Caen_en_premier.il_me_faut_remettre_la_fausse_invitation_au_banquet_au_garde_de_l'entré,et_approcher_le_compte_pour_en_finire.
qstr_Villandrandro_m_as_c Villandrandro_m'as_comandé_de_tuer_un_traitre_du_surnom_de_Mathieu_le_fileux,_je_le_trouverais_a_la_ferme_ou_il_s'es_établis_pres_de_Rennes.
qstr_Villandrandro_m_as_ch Villandrandro_m'as_chargé_de_récolter_l'argent_qu'il_extorque_aux_marchands_de_Paris,je_doit_aller_voir_le_forgeron,l'armurier_et_le_grossiste,_et_revenire_voir_Villandrandro_avec_la_somme.
qstr_Villandrandro_veux_q Villandrandro_veux_que_je_vole_une_bague_dans_la_salle_des_coffres_d'un_vieux_chateau_a_Tours,je_devrais_faire_attention_a_ne_pas_me_faire_prendre_ou_le_Royaume_de_France_ne_me_le_pardonera_jamais.
qstr_Rodrigue_de_Villandr Rodrigue_de_Villandrandro_veux_que_je_récupere_pour_lui_une_clé,je_la_trouverais_dans_la_poche_d'un_Noble_a_Tours,a_la_maison_des_trois_Sirènes..
qstr_Le_chef_des_Rebelles_c Le_chef_des_Rebelles_cachés_dans_les_catacombes_de_Paris_m'as_demandé_de_le_débarasser_de_la_troupes_Angloise_qui_campe_dans_une_crypte_prés_du_camp_Rebelle.
qstr_Le_chef_des_Rebelles_ca Le_chef_des_Rebelles_cachés_dans_les_catacombes_de_Paris_m'as_supplié_de_ramener_du_pain_et_du_fromage_pour_ses_gens_affamés.
qstr_Un_riche_marchand_de Un_riche_marchand_de_Rouen_m'offre_la_somme_de_10.000_écus_si_je_parviens_a_retrouver_sa_fille_enlevée_récament,_je_doit_commencer_par_questioner_le_tavernier_de_Rouen_a_propos_des_etrangers_qu'il_a_servi_le_jour_de_l'enlevement.
qstr_Une_dame_du_nom_de_M Une_dame_du_nom_de_Madeleine_de_montpellier,_m'a_demandé_de_retrouver_son_mari_a_Paris,_elle_dit_qu'il_a_été_jugé_coupable_de_trahison_par_le_Dauphin_Charles_de_France,_et_qu'il_s'es_exillé_a_Paris,_il_est_brun,_porte_une_moustache_et_se_nomme_Bernard,_c'est_Bernard_lui_meme_qui_doit_me_versser_une_solde_pour_la_commission.
qstr_Le_maitre_de_la_guil Le_maitre_de_la_guilde_des_Messagers_m'a_donné_une_lettre_a_remetre_au_maitre_de_la_guilde_des_Marchands_de_Montpellier.
qstr_Le_maitre_de_la_guild Le_maitre_de_la_guilde_des_Messagers_m'a_donné_une_lettre_a_remetre_au_maitre_de_la_guilde_des_Marchands_de_Marseille.
qstr_Le_maitre_de_la_guilde Le_maitre_de_la_guilde_des_Messagers_m'a_donné_une_lettre_a_remetre_au_maitre_de_la_guilde_des_Marchands_de_Paris.
qstr_Le_maitre_de_la_guilde_ Le_maitre_de_la_guilde_des_Messagers_m'a_donné_une_lettre_a_remetre_au_maitre_de_la_guilde_des_Marchands_de_Dijon.
qstr_Le_maitre_de_la_guilde_d Le_maitre_de_la_guilde_des_Messagers_m'a_donné_une_lettre_a_remetre_au_maitre_de_la_guilde_des_Marchands_de_Caen.
