p_zendar|Zendar
p_town_1|Paris
p_town_2|Reims
p_town_3|Nantes
p_town_4|Bourges
p_town_5|Metz
p_town_6|Dijon
p_town_7|Montpellier
p_town_8|Marseille
p_town_9|Caen
p_town_10|Limoges
p_town_11|Calais
p_town_12|Rouen
p_town_13|Toulouse
p_town_14|Bordeaux
p_town_15|Orleans
p_town_16|Tours
p_town_17|Poitiers
p_town_18|Avignon
p_town_19|Cherbourg
p_town_20|Lyon
p_town_21|Auxerre
p_town_22|Rennes
p_castle_1|Cherbourg
p_castle_2|Amiens
p_castle_3|Chartres
p_castle_4|Brest
p_castle_5|Troyes
p_castle_6|La Rochelle
p_castle_7|Angouleme
p_castle_8|Moulins
p_castle_9|Clermont
p_castle_10|Lyon
p_castle_11|Le Mans
p_castle_12|Bayonne
p_castle_13|Auch
p_castle_14|Tarbes
p_castle_15|Albe
p_castle_16|Carcassonne
p_castle_17|Grenoble Keep
p_castle_18|Saint-Malo
p_castle_19|Antwerp
p_castle_20|Peronne
p_castle_21|Verneuilo
p_castle_22|Chateauroux
p_castle_23|Laval
p_castle_24|Senlis
p_castle_25|Turenne
p_castle_26|Aurillac
p_castle_27|Nevers
p_castle_28|Monterean
p_castle_29|Dieppe
p_castle_30|Rodez
p_castle_31|Le Puy
p_castle_32|Cahors
p_castle_33|Nantes
p_castle_34|Neufchateau
p_castle_35|Chalons
p_castle_36|Albret
p_castle_37|Montargis
p_castle_38|Bruges
p_castle_39|Thouars
p_castle_40|Castle Agincourt
p_castle_41|Mont Saint-Michel
p_castle_42|Poitiers Bridge
p_castle_43|Tours Bridge
p_castle_44|Bordeaux Bridge
p_castle_45|Fortified Bridge
p_castle_46|Bourges Bridge
p_castle_47|Tourelles Bridge
p_castle_48|Chinon
p_village_1|Bruges Village
p_village_2|Boulogne
p_village_3|Lille
p_village_4|Abbeville
p_village_5|Nemours
p_village_6|Mayenne
p_village_7|Laon
p_village_8|Soissons
p_village_9|Senlis Village
p_village_10|Beaumont
p_village_11|Chalons Village
p_village_12|Bar
p_village_13|Joinville
p_village_14|Melun
p_village_15|Sens
p_village_16|Dieppe Village
p_village_17|Harcourt
p_village_18|Bayeux
p_village_19|Lisieux
p_village_20|Harfleur
p_village_21|Honflew
p_village_22|Quimper
p_village_23|Laval Village
p_village_24|Graon
p_village_25|Blois
p_village_26|Levet
p_village_27|Vierzon
p_village_28|Chateauroux
