str_no_string|NO STRING!
str_empty_string| 
str_yes|Oui.
str_no|Non.
str_blank_string| 
str_noone|aucune
str_s50_and_s51|{s50} et {s51}
str_s52_and_s51|{s52} et {s51}
str_s5_s_party|Armée de {s5}
str_given_by_s1_at_s2|Donné par {s1} à {s2}
str_given_by_s1_in_wilderness|Donné par {s1} pendant qu'il est sur le terrain 
str_s7_raiders|{s7} pillards
str_bandits_eliminated_by_another|Les bandits gênants ont été éliminés par un autre groupe.
str_msg_battle_won|Victoire ! Appuyez sur la touche Tab pour quitter...
str_tutorial_map1|Vous êtes arrivé a Dijon ! decidez vous meme de votre avenir par vos actions, Bonne Chance... 
str_randomize|Randomiser
str_charge|Charge
str_color|Couleur
str_flip_horizontal|Bascule horizontale
str_flip_vertical|Bascule verticale
str_hold_fire|Cesser le feu
str_blunt_hold_fire|Contondant / Cesser le feu
str_tutorial_ammo_refilled|Munitions rechargées.
str_tutorial_failed|Vous avez été vaincu, mais ne vous inquiétez pas. Suivez les instructions attentivement et vous ferez mieux la prochaine fois. Appuyez sur la touche Tab pour revenir au menu où vous pouvez choisir de recommencer ce didacticiel.
str_finished|(Fini)
str_delivered_damage|{reg60} dégâts causés.
str_archery_target_hit|Distance : {reg61} mètres. Score : {reg60}
str_use_baggage_for_inventory|Utilisez votre malle pour accéder à votre inventaire pendant la bataille (elle se trouve sur votre position de départ)
str_cant_use_inventory_now|Impossible d'accéder à l'inventaire pour le moment.
str_cant_use_inventory_arena|Impossible d'accéder à l'inventaire dans l'arène.
str_cant_use_inventory_disguised|Impossible d'accéder à l'inventaire lorsque vous êtes déguisé.
str_cant_use_inventory_tutorial|Impossible d'accéder à l'inventaire dans le camp d'entraînement.
str_1_denar|1 écu
str_reg1_denars|{reg1} écus
str_january_reg1_reg2|{reg1} janvier {reg2}
str_february_reg1_reg2|{reg1} février {reg2}
str_march_reg1_reg2|{reg1} mars {reg2}
str_april_reg1_reg2|{reg1} avril {reg2}
str_may_reg1_reg2|{reg1} mai {reg2}
str_june_reg1_reg2|{reg1} juin {reg2}
str_july_reg1_reg2|{reg1} juillet {reg2}
str_august_reg1_reg2|{reg1} août {reg2}
str_september_reg1_reg2|{reg1} septembre {reg2}
str_october_reg1_reg2|{reg1} octobre {reg2}
str_november_reg1_reg2|{reg1} novembre {reg2}
str_december_reg1_reg2|{reg1} décembre {reg2}
str_town_nighttime|Il est tres tard dans la nuit et les gens honnêtes ont regagnés leurs chaumières.
str_door_locked|La porte est fermée.
str_castle_is_abondened|Le château semble être inoccupé.
str_town_is_abondened|Le bourg n'a pas de garnison le protégeant.
str_place_is_occupied_by_player|L'endroit est occupé par nos propres troupes.
str_place_is_occupied_by_enemy|L'endroit est occupé par des troupes hostiles.
str_place_is_occupied_by_friendly|L'endroit est occupé par des troupes alliées.
str_do_you_want_to_retreat|Êtes-vous sûr de vouloir vous replier ?
str_give_up_fight|Abandonner le combat ?
str_do_you_wish_to_leave_tutorial|Souhaitez-vous quitter le didacticiel ?
str_do_you_wish_to_surrender|Souhaitez-vous vous rendre ?
str_can_not_retreat|Impossible de se replier, il y a des ennemis à proximité !
str_s1_joined_battle_enemy|{s1} a rejoint l'ennemi dans la bataille.
str_s1_joined_battle_friend|{s1} vous a rejoint dans la bataille.
str_entrance_to_town_forbidden|Les gardes du bourg sont à l'affût des intrus et il semble que vous ne pourrez pas franchir les portes sans encombre.
str_sneaking_to_town_impossible|Les gardes du bourg sont alertés. Vous ne pourrez pas franchir cette porte sans vous faire repérer, peu importe le type de déguisement que vous utilisez.
str_battle_won|Vous avez gagné la bataille !
str_battle_lost|Vous avez perdu la bataille !
str_attack_walls_success|Au terme d'un combat sanglant, vos braves soldats parviennent à reprendre les remparts aux ennemis.
str_attack_walls_failure|Vos soldats succombent, vague après vague, dans l'attaque des remparts et les quelques survivants se dispersent et s'enfuient rapidement, pour ne jamais revenir.
str_attack_walls_continue|Une bataille sanglante s'ensuit dans laquelle les deux camps se battent à armes égales. Malgré les efforts de vos troupes, le château reste entre les mains de l'ennemi.
str_order_attack_success|Vos hommes se battent courageusement et triomphe de l'ennemi.
str_order_attack_failure|Vous regardez avec désespoir la bataille pendant laquelle les ennemis abattent vos soldats et expulsent ensuite les quelques survivants en piteux état.
str_order_attack_continue|Malgré une escarmouche prolongée, vos troupes n'étaient pas en mesure de gagner une victoire décisive.
str_join_order_attack_success|Vos hommes se battent efficacement aux côtés de vos alliés, qui partagent la gloire suscitée par la défaite de vos ennemis.
str_join_order_attack_failure|Vous regardez avec désespoir la bataille dans laquelle les ennemis abattent vos soldats et expulsent ensuite les quelques survivants en piteux état.
str_join_order_attack_continue|Malgré une escarmouche prolongée, ni vos troupes ni celles de vos alliés étaient en mesure de remporter une victoire décisive sur l'ennemi. 
str_siege_defender_order_attack_success|Les hommes de la garnison défendent leurs remparts avec dextérité et courage, mettant fin à l'assaut de l'ennemi et transformant habilement la défaite en une déroute à part entière. 
str_siege_defender_order_attack_failure|L'assaut se transforme rapidement en bain de sang. Les élans de courage n'aboutissent à rien ; la garnison surpassée ne peut pas défendre les remparts et l'ennemi passe chaque dernier défenseur au fil de l'épée.
str_siege_defender_order_attack_continue|Tenter des attaques meurtrières à répétition sur les remparts empêche l'assaillant de gagner du terrain, cependant beaucoup trop d'ennemis restent en défense pour pouvoir prétendre à une vraie victoire. 
str_hero_taken_prisoner|{s1} de {s3} a été fait prisonnier par {s2}.
str_hero_freed|{s1} de {s3} a été libéré de sa captivité par {s2}.
str_center_captured|{s2} a pris {s1} de {s3}.
str_troop_relation_increased|Vos relations avec {s1} se sont améliorées en passant de {reg1} à {reg2}.
str_troop_relation_detoriated|Vos relations avec {s1} se sont détériorées en passant de {reg1} à {reg2}.
str_faction_relation_increased|Vos relations avec {s1} se sont améliorées en passant de {reg1} à {reg2}.
str_faction_relation_detoriated|Vos relations avec {s1} se sont détériorées en passant de {reg1} à {reg2}.
str_party_gained_morale|Votre groupe gagne {reg1} en moral.
str_party_lost_morale|Votre groupe perd {reg1} en moral.
str_other_party_gained_morale|{s1} gagne {reg1} en moral.
str_other_party_lost_morale|{s1} perd {reg1} en moral.
str_qst_follow_spy_noticed_you|L'espion vous a repéré ! Il tente de s'enfuir ! 
str_father|parent
str_husband|mari
str_wife|parente
str_daughter|cousine
str_mother|mère
str_son|cousin
str_brother|frère
str_sister|soeur
str_he|il
str_she|elle
str_s3s_s2|{s2} de {s3}.
str_s5_is_s51|{s5} est {s51}.
str_s5_is_the_ruler_of_s51|{s5} est le régent de {s51}. 
