qstr_Next_Page|Page suivante
qstr_Game_Rules:^|Règles du jeu :^
qstr_0|0
qstr_Show_game_rules|Afficher les règles du jeu
qstr_Continue...|Continuer.
qstr_Candidate_#1:_{s1}|Candidat #1 : {s1}
qstr_Candidate_#2:_{s1}|Candidat #2 : {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} du {s4} souhaite choisir un nouveau maréchal et prend conseil auprès de ses vassaux. {s1} et {s2} sont les candidats.
qstr_Who_do_you_wish_to_s|Qui voulez-vous soutenir ?
qstr_{s1}_gives_his_suppo|{s1} vote pour {s2}.
qstr_Number_of_Supporters|Nombre de partisans : {reg0}
qstr_{s2}_has_heard_his_v|{s2} a écouté le conseil de ses vassaux. Il nomme {s1} maréchal du {s3}.
qstr_Action|Action
qstr_Mount|En selle
qstr_Attack_Type|Type d'attaque
qstr_Stand_Ground|Restez là
qstr_Charge|À l'assaut
qstr_Follow_Me|Suivez moi
qstr_Hold_This_Position|Tenez la position
qstr_Spread_Out|Dispersez les rangs
qstr_Stand_Closer|Resserrez les rangs
qstr_Fall_Back|Reculez
qstr_Advance|Avancez
qstr_Dismount|Pied à terre
qstr_Fire_At_Will|Feu à volonté
qstr_Hold_Your_Fire|Cessez le feu
qstr_Use_Blunt_Weapons|Utilisez des armes contondantes
qstr_Use_Any_Weapon|Utilisez tous les types d'armes
qstr_Ready|Prêts
qstr_Wounded|Avec blessures
qstr_Dead|Décés
qstr_Number_of_men_knocke|Nombre d'hommes blessés : {reg1}
qstr_Number_of_men_left:_|Nombre d'hommes perdus : {reg1}
qstr_Opponents_Beaten:_{r|Ennemis vaincus : {reg1}
qstr_Opponents_Remaining:|Ennemis restants : {reg1}
qstr_Remain_in_retirement|Rester en retrait.
qstr_Go_back_to_the_adven|Retourner à l'aventure.
qstr_You_have_retired_at_|Vous avez pris votre retraite au niveau {reg4} après {reg5} jours d'aventure.
qstr_Effect_on_Score|Effet sur le score
qstr_Settlements_owned_by|Domaines en votre possession : {reg0}
qstr_Friendly_Settlements|Villages amis : {reg0}
qstr_Hostile_Settlements:|Villages hostiles : {reg0}
qstr_Friendly_Lords:_{reg|Seigneurs amis : {reg0}
qstr_Enemy_Lords:_{reg0}|Seigneurs ennemis : {reg0}
qstr_Victories:_{reg0}|Victoires : {reg0}
qstr_Defeats:_{reg0}|Défaites : {reg0}
qstr_Quests_Completed:_{r|Quêtes accomplies : {reg0}
qstr_Companions_Found:_{r|Compagnons trouvés : {reg0}
qstr_Companions_Lost/Depa|Compagnons perdus/partis : {reg0}
qstr_Wealth:_{reg0}_denar|Fortune : {reg0} écus
qstr_Inventory:_{reg0}_de|Inventaire : {reg0} écus
qstr_Renown:_{reg0}|Renommée : {reg0}
qstr_Experience:_{reg0}|Expérience : {reg0}
qstr_Days_Passed:_{reg0}|Jours écoulés : {reg0}
qstr_Difficulty:_{reg0}%|Difficulté : {reg0}%
qstr_TOTAL_SCORE:_{reg0}|SCORE TOTAL : {reg0}
qstr_None|Rien
qstr_{s1}_of_{s3}_was_def|{s1} du {s3} a été vaincu mais est parvenu à s'enfuir.
qstr_{s54}_is_a_claimant_|{s54} est prétendant au trône du {s56}.
qstr_nowhere|Nulle part
qstr_{s57}_and_{s58}|{s57} et {s58}
qstr_{reg3?She:He}|{reg3?Elle:Il}
qstr_The_town_of_{s50}|La ville de {s50}
qstr_The_village_of_{s50}|Le village de {s50} près de {s52}
qstr_{s51}_belongs_to_{s1|{s51} appartient au {s1} du {s2}.^
